Google

378,Kth Smallest Element in a Sorted Matrix,43.3%,Medium,
321,Create Maximum Number,23.8%,Hard,
331,Verify Preorder Serialization of a Binary Tree,35.1%,Medium,
374,Guess Number Higher or Lower,33.5%,Easy,
326,Power of Three,39.3%,Easy,
257,Binary Tree Paths,34.7%,Easy,
370,Range Addition,53.5%,Medium,
363,Max Sum of Rectangle No Larger Than K,32.1%,Hard,
357,Count Numbers with Unique Digits,45.1%,Medium,
356,Line Reflection,30.0%,Medium,
330,Patching Array,31.5%,Hard,
444,Sequence Reconstruction,20.9%,Medium,
447,Number of Boomerangs,42.7%,Easy,
379,Design Phone Directory,29.6%,Medium,
448,Find All Numbers Disappeared in an Array,56.3%,Easy,
377,Combination Sum IV,41.6%,Medium,
323,Number of Connected Components in an Undirected Graph,46.6%,Medium,
316,Remove Duplicate Letters,28.5%,Hard,
474,Ones and Zeroes,35.4%,Medium,
314,Binary Tree Vertical Order Traversal,35.3%,Medium,
459,Repeated Substring Pattern,39.7%,Easy,
312,Burst Balloons,41.6%,Hard,
460,LFU Cache,18.7%,Hard,
310,Minimum Height Trees,28.5%,Medium,
469,Convex Polygon,27.8%,Medium,
475,Heaters,30.5%,Easy

